period,demand_mwh
2022-07-19 00:00:00+00:00,65100.541666666664
2022-07-20 00:00:00+00:00,65764.04166666667
2022-07-21 00:00:00+00:00,64598.166666666664
2022-07-22 00:00:00+00:00,61979.125
2022-07-23 00:00:00+00:00,59565.666666666664
2022-07-24 00:00:00+00:00,60702.833333333336
2022-07-25 00:00:00+00:00,63395.0
2022-07-26 00:00:00+00:00,63505.416666666664
2022-07-27 00:00:00+00:00,63710.833333333336
2022-07-28 00:00:00+00:00,62648.708333333336
2022-07-29 00:00:00+00:00,62669.291666666664
2022-07-30 00:00:00+00:00,60727.25
2022-07-31 00:00:00+00:00,60080.541666666664
2022-08-01 00:00:00+00:00,62106.791666666664
2022-08-02 00:00:00+00:00,63492.708333333336
2022-08-03 00:00:00+00:00,64865.916666666664
2022-08-04 00:00:00+00:00,64407.708333333336
2022-08-05 00:00:00+00:00,62576.125
2022-08-06 00:00:00+00:00,58641.291666666664
2022-08-07 00:00:00+00:00,58305.333333333336
2022-08-08 00:00:00+00:00,61558.666666666664
2022-08-09 00:00:00+00:00,61653.25
2022-08-10 00:00:00+00:00,60094.291666666664
2022-08-11 00:00:00+00:00,57641.625
2022-08-12 00:00:00+00:00,59660.291666666664
2022-08-13 00:00:00+00:00,58339.875
2022-08-14 00:00:00+00:00,56609.958333333336
2022-08-15 00:00:00+00:00,59176.625
2022-08-16 00:00:00+00:00,60396.666666666664
2022-08-17 00:00:00+00:00,61843.166666666664
2022-08-18 00:00:00+00:00,58935.583333333336
2022-08-19 00:00:00+00:00,53313.833333333336
2022-08-20 00:00:00+00:00,53729.916666666664
2022-08-21 00:00:00+00:00,53321.333333333336
2022-08-22 00:00:00+00:00,54140.708333333336
2022-08-23 00:00:00+00:00,51949.166666666664
2022-08-24 00:00:00+00:00,53395.666666666664
2022-08-25 00:00:00+00:00,53987.208333333336
2022-08-26 00:00:00+00:00,55919.833333333336
2022-08-27 00:00:00+00:00,55642.791666666664
2022-08-28 00:00:00+00:00,56990.208333333336
2022-08-29 00:00:00+00:00,57939.125
2022-08-30 00:00:00+00:00,54257.166666666664
2022-08-31 00:00:00+00:00,52543.958333333336
2022-09-01 00:00:00+00:00,52338.333333333336
2022-09-02 00:00:00+00:00,51819.666666666664
2022-09-03 00:00:00+00:00,50967.541666666664
2022-09-04 00:00:00+00:00,47619.25
2022-09-05 00:00:00+00:00,47626.958333333336
2022-09-06 00:00:00+00:00,52501.25
2022-09-07 00:00:00+00:00,54308.0
2022-09-08 00:00:00+00:00,53128.833333333336
2022-09-09 00:00:00+00:00,52855.916666666664
2022-09-10 00:00:00+00:00,51308.333333333336
2022-09-11 00:00:00+00:00,50332.666666666664
2022-09-12 00:00:00+00:00,50749.833333333336
2022-09-13 00:00:00+00:00,51678.166666666664
2022-09-14 00:00:00+00:00,51785.208333333336
2022-09-15 00:00:00+00:00,50928.708333333336
2022-09-16 00:00:00+00:00,53488.416666666664
2022-09-17 00:00:00+00:00,54743.666666666664
2022-09-18 00:00:00+00:00,54584.791666666664
2022-09-19 00:00:00+00:00,56830.666666666664
2022-09-20 00:00:00+00:00,57623.416666666664
2022-09-21 00:00:00+00:00,56923.833333333336
2022-09-22 00:00:00+00:00,55908.333333333336
2022-09-23 00:00:00+00:00,55793.0
2022-09-24 00:00:00+00:00,54697.75
2022-09-25 00:00:00+00:00,53510.708333333336
2022-09-26 00:00:00+00:00,52513.333333333336
2022-09-27 00:00:00+00:00,47526.083333333336
2022-09-28 00:00:00+00:00,47266.75
2022-09-29 00:00:00+00:00,46594.166666666664
2022-09-30 00:00:00+00:00,45090.958333333336
2022-10-01 00:00:00+00:00,42688.625
2022-10-02 00:00:00+00:00,41675.041666666664
2022-10-03 00:00:00+00:00,43723.583333333336
2022-10-04 00:00:00+00:00,44851.25
2022-10-05 00:00:00+00:00,45581.416666666664
2022-10-06 00:00:00+00:00,46618.0
2022-10-07 00:00:00+00:00,46128.041666666664
2022-10-08 00:00:00+00:00,43740.083333333336
2022-10-09 00:00:00+00:00,42731.458333333336
2022-10-10 00:00:00+00:00,45503.291666666664
2022-10-11 00:00:00+00:00,46449.708333333336
2022-10-12 00:00:00+00:00,50496.583333333336
2022-10-13 00:00:00+00:00,49051.375
2022-10-14 00:00:00+00:00,45993.041666666664
